Sample_ID,Energy_Type,Thickness_mm,Length_m,Width_m,Number_of_Sheets,Total_Weight_kg,Casting_Electricity_kWh,Casting_Carbon_kgCO2e,Casting_NaturalGas_Nm3,Casting_WasteWater_L,HotRolling_Electricity_kWh,HotRolling_Carbon_kgCO2e,HotRolling_NaturalGas_Nm3,HotRolling_WasteWater_L,ColdRolling_Electricity_kWh,ColdRolling_Carbon_kgCO2e,ColdRolling_NaturalGas_Nm3,ColdRolling_WasteWater_L,HeatTreatment_Electricity_kWh,HeatTreatment_Carbon_kgCO2e,HeatTreatment_NaturalGas_Nm3,HeatTreatment_WasteWater_L,Finishing_Electricity_kWh,Finishing_Carbon_kgCO2e,Finishing_NaturalGas_Nm3,Finishing_WasteWater_L,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,manufacturing_cost_per_unit,Quality_Score,Transport_Cost
NON-019,Non-Renewable,4.79,2.44,2.53,7,556.48,1586.496,710.1839,209.035,2720.41,890.396,397.223,103.463,3716.1,528.265,210.7373,27.354,1549.57,935.572,257.771,421.557,1941.84,341.147,106.1409,41.742,1132.57,4281.877,1682.0562,803.151,11060.49,1492.7,86.1,118.11
NON-020,Non-Renewable,3.38,2.7,1.99,22,1077.79,3383.785,1115.0004,290.405,6971.95,2029.821,910.366,99.008,4184.43,963.106,269.231,59.903,3835.31,1528.644,392.5417,854.74,4147.36,462.878,176.9277,46.024,1370.24,8368.234,2864.0668,1350.08,20509.28,2735.65,84.5,201.67
NON-021,Non-Renewable,2.85,3.62,1.84,36,1852.45,4860.61,1990.646,568.666,7693.83,3672.55,1551.2204,274.364,6860.21,1863.984,748.183,73.93,6732.17,2100.652,749.5449,1026.809,5086.59,1340.649,345.1882,121.526,3804.71,13838.445,5384.7824,2065.296,30177.52,5048.79,81.8,228.78
NON-022,Non-Renewable,1.86,4.98,1.73,22,953.61,2466.589,757.0206,373.31,5465.95,2115.863,803.2508,174.521,6112.42,1214.691,473.2297,97.731,3305.44,1415.325,556.889,654.46,2024.24,627.526,256.3633,32.974,1840.74,7839.995,2846.7533,1332.995,18748.8,2346.82,80.2,126.05
NON-023,Non-Renewable,5.49,3.23,2.16,27,2793.54,6494.385,1665.0539,908.85,19080.77,6346.799,2699.5535,380.388,15374.59,2721.769,801.804,178.51,6167.49,4283.113,1235.2756,1648.71,13694.79,1161.649,325.6637,105.916,8055.49,21007.716,6727.3507,3222.374,62373.12,7669.11,77.1,609.3
NON-024,Non-Renewable,7.63,3.7,2.83,44,9491.2,25172.426,9597.4566,2959.797,50378.1,16377.766,5623.5019,1059.159,41953.59,12077.427,4133.2286,869.776,25364.86,17052.74,6509.9434,4540.628,21778.06,8272.441,3631.2339,543.653,9813.74,78952.799,29495.3644,9973.012,149288.35,22165.01,85.4,1969.86
NON-025,Non-Renewable,4.81,2.83,1.19,6,261.38,628.391,276.8193,92.045,1217.78,456.083,173.8181,44.894,1631.31,208.578,93.1982,13.2,830.87,384.246,170.4026,173.31,981.39,172.347,69.4442,6.891,262.47,1849.647,783.6825,330.339,4923.82,724.4,81.5,39.95
NON-026,Non-Renewable,4,5.02,1.46,38,2996.42,8079.599,3383.8611,506.548,17752.34,5773.49,1748.5914,579.01,19836.65,2895.016,780.0097,145.658,7619.85,4157.163,1320.6285,2126.424,10271.97,2502.567,1124.0439,99.452,6662.07,23407.834,8357.1346,3457.091,62142.89,8115.81,87.3,446.49
NON-027,Non-Renewable,7.41,1.08,2.7,4,232.02,686.784,308.3126,63.874,1122.35,467.805,175.3474,37.162,856.25,287.522,107.5903,7.87,781.45,268.413,68.571,143.939,1030.14,192.568,52.1288,13.871,561.52,1903.093,711.9503,266.716,4351.71,551.44,87.6,34.31
NON-028,Non-Renewable,1.16,3.6,2.24,12,303.46,790.439,286.7124,112.788,2121,530.064,159.2076,43.355,1843.79,325.087,113.8667,25.412,1065.8,433.851,186.3609,236.346,1440.26,235.87,70.5874,13.084,473.4,2315.311,816.735,430.985,6944.25,787.37,79.2,59.31
NON-029,Non-Renewable,1.58,4.88,1.96,41,1674.14,4499.742,1687.3713,483.163,13230.23,3563.97,1279.332,168.894,11076.9,1378.661,523.9033,191.325,4096.9,1976.726,830.944,1223.902,5114.69,891.562,245.6054,132.72,4471.11,12310.661,4567.156,2200.004,37989.82,4586.54,81.7,220.05
NON-030,Non-Renewable,1,2.65,2.8,47,942.45,2881.118,811.7142,240.307,4698.09,1643.395,635.9365,130.372,4052.2,716.384,257.148,57.708,2622.08,1176.563,385.2526,586.529,1924.89,776.414,337.2616,49.98,1447.64,7193.873,2427.3129,1064.896,14744.91,2633.34,80,178.47
NON-031,Non-Renewable,7.05,3.17,1,48,2893.54,6821.016,2367.0964,593.705,14976.69,6307.838,2040.2899,260.424,10952.75,3519.199,1567.4714,156.594,9695.74,3081.507,1216.2497,1639.409,13757.3,1608.14,704.8371,145.241,4912.62,21337.7,7895.9445,2795.374,54295.1,7489.11,78.2,413.71
NON-032,Non-Renewable,2.37,5.8,1.73,37,2373.88,6472.617,2378.7389,702.752,18800.09,4908.964,1462.645,194.24,9198.16,2310.53,759.4345,244.77,8477.41,2543.088,1119.9813,1450.403,8995.15,1430.333,543.3838,171.583,5573.58,17665.533,6264.1836,2763.748,51044.39,6604.29,84.1,479.93
NON-033,Non-Renewable,0.93,4.36,2.14,5,116.8,357.188,133.1721,20.391,744.93,225.993,67.0428,9.621,521.19,125.198,39.5445,6.734,409.06,187.684,73.9012,51.447,414.46,79.295,31.6355,8.665,203.01,975.358,345.296,96.858,2292.64,287,84.5,21.76
NON-034,Non-Renewable,5.8,2.75,0.99,10,425.74,1010.455,269.0236,153.882,2356.32,699.281,300.1907,45.465,1733.81,347.699,154.2045,17.084,1466.38,743.197,285.0904,316.531,1161.13,313.753,122.4183,20.222,1166.98,3114.384,1130.9276,553.186,7884.63,1114,86.6,83.16
NON-035,Non-Renewable,5.44,3.49,1.63,2,167.8,466.769,156.1784,31.779,751.14,321.269,82.8819,33.291,757.21,155.935,40.5782,11.478,340.89,171.844,54.6155,122.227,566.59,68.367,19.3235,10.806,415.58,1184.184,353.5774,209.58,2831.41,445.14,79.6,26.05
NON-036,Non-Renewable,8.12,2.99,2.32,29,4407.41,11582.261,3080.8966,789.064,33312.23,8447.408,3791.2043,545.054,17628.83,4012.168,1278.3457,385.04,8927.1,7098.638,2365.8547,2524.985,15176.23,2752.895,962.1207,179.621,8403.57,33893.369,11478.422,4423.764,83447.95,10766.38,81.7,803.59
NON-037,Non-Renewable,2.79,3.54,1.99,1,53.01,146.743,43.7087,13.312,387.27,96.914,33.5945,4.398,224.48,57.449,17.9835,2.572,136.82,93.476,24.9917,31.026,115.3,35.478,9.9058,3.077,81.03,430.06,130.1841,54.385,944.9,138.59,79.5,6.38
NON-038,Non-Renewable,3.3,1.41,1.74,15,327.47,941.803,329.6191,52.072,1727.26,636.06,231.8061,30.319,1833.8,296.76,85.0467,33.559,699.89,571.049,223.4246,193.285,665.91,194.866,73.8852,23.426,732.07,2640.537,943.7817,332.66,5658.91,798.58,80.8,67.89
NON-039,Non-Renewable,3.84,1.33,1.61,49,1081.58,2857.301,824.6482,174.439,5065.96,1975.87,720.9075,172.912,3429.97,1364.632,405.47,46.957,3311.41,1667.863,519.4569,722.25,3118.05,920.513,392.2665,26.252,1406.92,8786.179,2862.7491,1142.811,16332.32,2832.47,75,218.67
NON-040,Non-Renewable,3.88,4.72,0.61,11,332.69,786.398,224.8822,81.878,1984.92,745.656,279.9453,54.821,1107.35,290.134,130.0804,26.761,1189.59,341.34,91.0747,147.614,680.65,286.447,86.1422,26.547,823.84,2449.975,812.1249,337.621,5786.36,781.95,87.9,68.82
NON-041,Non-Renewable,2.07,1.93,2.2,4,94.66,267.52,70.4436,19.436,737.77,184.495,67.2933,10.636,450.61,73.817,26.0813,3.3,198.46,146.131,38.1396,57.603,264.87,46.748,17.0474,3.577,181.07,718.712,219.0053,94.552,1832.78,216.15,76.6,12.37
NON-042,Non-Renewable,1.18,3.77,2.39,39,1118.98,3538.274,1003.7322,205.785,6579.39,2464.778,994.3254,164.469,4058.68,1045.973,411.9764,71.175,2325.5,1641.66,646.8582,767.516,2791.4,635.574,210.9055,50.61,1374.46,9326.259,3267.7977,1259.555,17129.42,2720.59,81.6,213.79
NON-043,Non-Renewable,5.91,3.02,2.82,30,4081.54,12968.322,5491.7636,1299.589,31008.49,9362.511,2754.2208,664.992,27244.75,2899.689,1188.5761,155.287,15644.98,6079.904,1717.0493,1696.957,18299.43,1917.286,839.5956,103.883,10922.02,33227.712,11991.2054,3920.708,103119.68,10016.58,86.3,803.48
NON-044,Non-Renewable,8.6,3.35,2.28,16,2844.99,6664.256,1975.8189,427.716,15511.19,5535.435,1405.344,230.238,16346.88,2162.934,572.6781,212.247,9776.28,5069.005,1566.7252,1271.73,6274.93,1433.177,386.9735,57.477,4467.05,20864.807,5907.5397,2199.408,52376.33,6539.27,75.2,442.29
NON-045,Non-Renewable,8.35,2.52,2.28,36,4648.29,10797.972,4776.5586,858.782,31933.07,8671.889,3673.7983,926.846,17539.34,5539.238,1944.8299,543.333,15414.54,6854.317,2028.2246,3195.604,13315.5,3824.978,1703.847,95.139,13523.1,35688.395,14127.2583,5619.703,91725.55,11225.96,81.3,987.34
NON-046,Non-Renewable,7.87,2.22,0.74,42,1468.08,4363.644,1840.0085,361.162,8762.15,2826.801,884.6313,176.581,8624.36,1690.993,714.9026,155.677,5149.83,1858.911,728.7105,1158.386,6971.48,1300.34,334.5014,83.234,2100.36,12040.689,4502.7543,1935.04,31608.18,3446.95,86,286.3
NON-047,Non-Renewable,3.62,3.6,0.97,1,34.19,106.33,41.6736,9.649,144.16,64.776,21.1175,3.439,123.93,27.486,10.1523,1.409,84.69,60.072,17.6548,24.122,129.72,20.739,7.6538,0.958,67.3,279.402,98.252,39.577,549.8,95.16,80.6,4.93
NON-048,Non-Renewable,9.31,4.05,2.32,27,6383.07,14745.418,5914.9773,2519.234,43818.19,13826.564,5811.5446,1276.003,26518.18,6189.221,2219.2394,279.074,18906.35,7797.463,3254.5555,3439.361,14330.34,2585.417,1091.3269,456.586,18307.78,45144.083,18291.6436,7970.259,121880.85,14320.6,80.1,1039.29
NON-049,Non-Renewable,8.68,2.31,1.26,36,2443.39,6015.745,2268.3868,819.886,11537.24,4289.035,1672.5599,428.426,16647.85,2162.865,778.0405,105.587,7021.79,2953.807,944.5096,1762.531,10774.6,1838.048,504.963,90.507,7033.53,17259.501,6168.4598,3206.936,53015.01,6038.88,83.1,297.68
NON-050,Non-Renewable,5.42,4.45,0.65,6,252.69,664.969,291.8494,53.621,1032.61,547.458,229.8499,36.49,1660.74,204.029,62.2154,8.046,800.24,432.082,160.4235,109.192,1030.9,186.48,52.8388,17.623,713.8,2035.018,797.1771,224.972,5238.3,615.31,79,44.84
NON-051,Non-Renewable,9.74,4.62,2.48,38,11438.13,36159.29,14942.4084,2482.972,56335.11,20239.348,5921.7698,1200.907,77070.21,14537.831,3895.7153,409.104,42481.9,16596.648,4851.4204,6688.178,25406.81,10192.611,2833.4468,782.29,33357.69,97725.727,32444.7607,11563.452,234651.73,30043.46,76.2,2047.41
NON-052,Non-Renewable,1.73,5.33,2.18,47,2551.97,6204.602,2114.1368,729.585,11313.79,5292.366,1922.6484,310.741,11870.93,3005.553,965.6319,299.951,9790.31,2711.391,1140.0947,1708.575,5527.47,2239.823,933.3282,178.539,7225.37,19453.734,7075.8401,3227.391,45727.86,7024.69,77.8,545.45
NON-053,Non-Renewable,0.96,5.41,1.64,41,938.83,2390.023,958.3338,329.695,4059.28,2103.071,869.5151,142.191,5475.01,851.984,293.178,40.616,2816.33,1526.784,552.2063,425.661,4214.1,721.957,185.8829,64.116,2563.47,7593.819,2859.116,1002.279,19128.19,2354.06,79.9,120.5
NON-054,Non-Renewable,8.37,1.02,1.36,17,531.46,1658.58,563.6819,197.79,2315.66,1165.091,433.9682,76.822,2244.78,528.387,160.9947,37.746,1880.1,797.395,307.8799,402.253,1147.32,265.448,104.8092,23.647,1222.58,4414.901,1571.3339,738.258,8810.45,1455.48,84.6,113.37
NON-055,Non-Renewable,1.94,4.78,2.26,1,56.64,132.455,34.0084,15.966,402.46,106.689,26.7413,5.72,384.79,47.96,20.1756,3.587,172.32,78.826,21.8267,30.95,283.12,38.63,13.2518,2.999,86.43,404.56,116.0038,59.222,1329.13,143.85,84.5,7.39
NON-056,Non-Renewable,3.15,2.04,2.36,46,1886.72,5060.588,1906.0665,297.73,8539.19,3526.493,1350.2179,295.912,7110.33,1471.145,643.794,116.943,5510.85,2030.651,877.3365,1258.832,6659.95,1161.525,302.337,61.993,5117.08,13250.402,5079.752,2031.41,32937.39,4855.13,77.5,262.1
NON-057,Non-Renewable,3.83,4.08,1.86,26,2032.25,6263.461,2644.7481,734.25,13839.21,3809.884,1157.705,395.644,6464.86,2176.597,912.4834,110.701,8042.6,3472.579,1006.5814,1032.633,9535.12,923.912,265.8053,114.848,2629.79,16646.433,5987.3232,2388.076,40511.57,5169.07,82.5,365.06
NON-058,Non-Renewable,2.88,5.11,2.93,14,1627.26,5010.228,1546.2084,386.037,11621.49,2760.038,724.1278,205.678,5725.88,1216.75,447.4546,75.761,4233.8,2576.386,692.015,1297.878,4761.79,1094.841,447.1002,55.685,2737.58,12658.243,3856.9059,2021.04,29080.53,3781.35,79.9,314.86
NON-059,Non-Renewable,7.29,1.91,1.69,34,2162.37,6409.986,2417.8942,429.675,16157.91,3896.402,1262.3733,317.911,13920.28,2356.529,919.8416,106.979,5849.48,2399.18,953.3879,1685.573,9091.91,999.748,388.5753,99.455,2560.74,16061.845,5942.0723,2639.594,47580.31,6053.95,84.4,394.08
NON-060,Non-Renewable,8.79,2.63,2.17,23,3108.8,7497.031,2685.541,957.439,18320.13,5246.684,1390.6683,496.725,19745.93,3899.849,1277.7354,355.797,11314.79,4163.403,1379.1855,1658.205,6862.2,1258.637,376.4578,109.669,7645.53,22065.602,7109.588,3577.835,63888.58,7132.89,84,600.1
NON-061,Non-Renewable,4.87,1.59,2.3,45,2159.16,5677.653,2280.9854,724.355,9103.4,3538.859,1363.6056,388.021,14428.06,1694.939,621.4968,119.585,5280.02,3434.604,1142.4813,1241.685,9787.93,1121.345,398.8271,150.413,2728.7,15467.4,5807.3961,2624.059,41328.11,5522.51,85.9,424.16
NON-062,Non-Renewable,8.9,1.16,2.23,10,622.92,1744.997,706.6467,158.875,4246.33,1363.129,598.6095,90.58,2656.38,581.817,246.1782,32.16,2346.25,651.742,289.5463,278.846,2896.68,417.597,151.281,49.111,1808.17,4759.283,1992.2617,609.571,13953.81,1668.91,83.5,116.97
NON-063,Non-Renewable,1.77,3.34,1.57,5,125.28,289.413,73.2948,41.888,725.33,243.462,73.2118,18.153,439.57,99.987,41.3474,4.068,480.06,159.17,69.4667,53.302,368.07,87.265,38.184,3.182,328.02,879.297,295.5048,120.593,2341.06,321.69,83.3,27.46
NON-064,Non-Renewable,3.55,2.8,1.84,31,1531.17,3951.301,1546.0048,261.113,7317.81,2464.08,985.445,296.661,9301.64,1230.638,377.5249,138.427,4009.98,2029.501,611.206,939.667,7056.3,795.975,283.2934,91.718,1551.31,10471.496,3803.474,1727.586,29237.04,3600.99,82.4,310.09
NON-065,Non-Renewable,2.67,5.49,2.56,20,2025.73,6142.271,2578.8307,446.501,9035.98,3384.272,1442.2075,282.241,11517.92,1892.102,768.2889,211.039,7667.53,3065.772,1313.4504,1512.696,5702.29,1406.411,425.3435,118.038,5660.49,15890.828,6528.121,2570.515,39584.21,5043.83,85.7,246.55
NON-066,Non-Renewable,8.74,5.72,1.28,35,6063.33,18416.211,5061.7617,1537.731,29263.67,12869.979,4262.3178,485.166,24559.74,4983.948,1320.5152,471.567,16212.69,7125.297,3116.1296,3210.603,14449.58,4011.436,1718.7688,404.288,7860.37,47406.87,15479.4931,6109.355,92346.05,14427.03,78.1,1290.06
NON-067,Non-Renewable,3.15,1.85,1.64,30,772.58,1887.155,481.0398,134.191,5101.97,1324.524,399.7,124.452,5010.54,982.417,320.9719,38.918,2687.24,1212.906,539.6031,339.283,3580.48,376.889,150.5546,61.594,1130.72,5783.891,1891.8693,698.438,17510.94,2043.72,85.1,114.42
NON-068,Non-Renewable,9.25,1.35,1.07,15,541.68,1289.772,385.7069,187.851,2745.75,1058.789,293.3596,81.795,2948.64,450.115,119.249,50.463,1769.61,750.664,322.0982,428.421,2273.54,477.296,133.3704,16.019,1624.04,4026.636,1253.7841,764.549,11361.58,1314.08,82.3,116.18
NON-069,Non-Renewable,6.24,5.35,2.27,42,8584.24,23377.167,10283.0559,1556.453,62069.9,15148.639,5661.9979,1486.373,49822.93,8273.171,3607.6788,382.553,29529.91,10322.923,4001.0913,4088.23,18398.96,6802.115,2812.6015,255.345,22440.9,63924.016,26366.4253,7768.954,182262.6,20574.91,82.4,1546.78
NON-070,Non-Renewable,9.18,3.85,2.67,21,5356.65,15469.227,4459.6734,1757.268,41305.22,10172.403,3859.9988,778.406,16380.65,6667.26,2745.9647,361.004,11687.87,6863.348,2437.3695,2665.84,24091.61,2934.043,853.7674,162.691,13137.39,42106.281,14356.7738,5725.209,106602.75,13541.47,84,798.33
NON-071,Non-Renewable,4.3,5.48,1.33,45,3795.06,12029.024,3054.2512,1038.166,24623.17,6105.299,1953.8964,316.376,20743.64,3711.166,1122.9357,379.442,11710.89,4804.319,2099.7787,2999.361,9666.78,3374.548,1240.2165,275.223,6007.55,30024.357,9471.0785,5008.567,72752.04,8455.25,75.2,618.95
NON-072,Non-Renewable,0.54,3.23,2.36,33,368.64,1090.713,402.3817,143.215,1828.6,823.051,367.3655,29.648,1741.65,407.583,151.9905,43.88,1224.15,550.73,239.714,280.477,1659.82,222.542,86.6802,28.518,545.5,3094.62,1248.132,525.738,6999.72,918.94,84.8,66.27
NON-073,Non-Renewable,7.95,2.32,0.83,24,987.96,2863.433,1058.0651,299.024,4318.02,1920.516,557.8964,163.291,5170.66,1047.697,386.719,56.866,2140.65,1314.451,406.8859,620.322,2637.27,505.688,159.3073,30.033,1782.3,7651.784,2568.8737,1169.537,16048.89,2661.97,86.1,129.25
NON-074,Non-Renewable,3.64,4.07,1.07,46,1963.1,5763.614,1694.8368,346.823,8431.73,3399.275,1118.734,333.913,6996.49,1417.12,607.0094,118.147,5223.28,2787.776,931.0223,1017.069,8140.48,1562.796,648.9604,129.961,4673.87,14930.582,5000.5629,1945.913,33465.85,4546.17,84.5,289.5
NON-075,Non-Renewable,7.36,1.49,1.56,20,921.59,2150.089,917.6663,294.097,6555.27,1904.001,606.6148,129.773,3239.36,734.477,231.2233,81.037,2948.33,1493.161,532.2095,617.71,1964.5,798.692,334.8414,70.222,1241.61,7080.419,2622.5553,1192.838,15949.06,2108.21,82,187.89
NON-076,Non-Renewable,7.51,2.29,1.69,12,942.5,2646.367,961.9715,160.961,6155.74,1572.021,401.7785,172.116,3764.16,922.767,403.7957,81.326,2587.37,1584.794,464.2097,561.077,3484.64,653.073,165.5552,40.168,1913.08,7379.022,2397.3107,1015.647,17904.98,2332.42,85.7,181.24
NON-077,Non-Renewable,9.36,2.12,0.89,10,476.65,1377.868,413.8246,150.689,3209.47,789.773,314.3314,56.09,1851.53,407.672,174.9969,40.258,1572.67,559.442,180.1363,345.186,1439.73,384.334,111.4557,30.478,588,3519.09,1194.7449,622.701,8661.41,1283.82,83.7,102.83
NON-078,Non-Renewable,0.78,1.66,0.57,1,1.99,6.082,2.2886,0.618,10.94,3.253,1.0937,0.196,13.39,2.438,0.7562,0.063,4.06,2.827,1.1722,1.067,7.89,1.647,0.6213,0.04,4.18,16.247,5.932,1.984,40.45,4.58,85.4,0.32
NON-079,Non-Renewable,4.67,2.52,1.07,8,273.07,728.254,260.3629,102.466,1531.32,498.416,206.1623,44.659,944.59,307.04,135.1716,20.412,814.07,431.14,125.0183,149.315,805.77,245.201,69.2262,8.312,524.79,2210.052,795.9413,325.163,4620.54,645.7,86.3,44.69
NON-080,Non-Renewable,7.01,5.09,1.18,36,4091.64,10880.436,3273.9655,1524.247,25614.23,7968.19,2279.8633,770.034,22714.2,5190.548,1343.6537,165.696,15362.91,5570.404,1912.8523,2002.09,14178.69,2533.795,998.7495,237.843,10629.96,32143.373,9809.0843,4699.91,88499.98,10924.11,80.5,614.35
NON-081,Non-Renewable,3.6,5.95,1.52,38,3351.31,7957.584,2673.0559,778.235,15552.95,5418.105,1627.5432,587.145,14041.89,4101.371,1500.1567,343.262,13400.98,5068.695,1612.7366,1756.121,16481.97,2537.894,889.5335,110.072,6634.9,25083.65,8303.0259,3574.835,66112.68,8905.39,87.7,627.64
NON-082,Non-Renewable,0.73,3.33,2.57,26,440.31,1149.076,485.1641,129.626,2649.6,854.379,330.0454,59.281,2319.77,384.439,109.3241,45.706,1161.71,484.575,139.0016,248.804,1257.65,329.15,105.3215,24.284,587.47,3201.619,1168.8567,507.701,7976.19,1004.77,86.8,90.91
NON-083,Non-Renewable,9.03,3.47,0.68,16,914.28,2828.097,946.0007,211.853,4737.77,1814.483,617.7505,114.272,4289.94,786.277,226.7343,44.037,1898.67,1605.911,708.6899,403.337,2031.01,556.002,223.9514,63.599,953.39,7590.769,2723.1269,837.099,13910.78,2166.82,82,122.06
