Sample_ID,Scrap_Input_kg,Scrap_Quality_pct,Crushing__Electricity_kWh,Crushing__Carbon_kgCO2e,Crushing__NaturalGas_Nm3,Crushing__WasteWater_L,Crushing__LiquidFuel_L,Crushing__Fluorine_g,Crushing__SO2_g,Furnace_Melting__Electricity_kWh,Furnace_Melting__Carbon_kgCO2e,Furnace_Melting__NaturalGas_Nm3,Furnace_Melting__WasteWater_L,Furnace_Melting__LiquidFuel_L,Furnace_Melting__Fluorine_g,Furnace_Melting__SO2_g,Separation__Electricity_kWh,Separation__Carbon_kgCO2e,Separation__NaturalGas_Nm3,Separation__WasteWater_L,Separation__LiquidFuel_L,Separation__Fluorine_g,Separation__SO2_g,Final_Casting__Electricity_kWh,Final_Casting__Carbon_kgCO2e,Final_Casting__NaturalGas_Nm3,Final_Casting__WasteWater_L,Final_Casting__LiquidFuel_L,Final_Casting__Fluorine_g,Final_Casting__SO2_g,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,Total__LiquidFuel_L,flourine_g,so2_g
R-023,1.327,0.998,0.0292936,0.00078194,0,0.719511,0.012453,0,0.025465,3.3229016,0.0890357,0.615267,0.280816,0.155224,0,0.709547,0.1592008,0.0048974,0.065488,1.297588,0.024673,0,0.066324,0.281432,0.00807322,0.026356,0.121598,0.059595,0,0.130173,3.792828,0.10278826,0.707111,2.419513,0.251945,0,0.931509
R-024,1.041,0.935,0.0234496,0.00064792,0,0.613239,0.009297,0,0.021007,2.7316928,0.06991696,0.436622,0.229633,0.118633,0,0.681598,0.1437736,0.00403328,0.053983,1.110801,0.022284,0,0.055997,0.2331688,0.00706166,0.023161,0.111846,0.058851,0,0.100484,3.1320848,0.08165982,0.513766,2.065519,0.209065,0,0.859086
R-025,1.179,0.95,0.023256,0.00079926,0,0.641598,0.013169,0,0.026231,3.0716132,0.06326704,0.678033,0.268218,0.118932,0,0.666306,0.1478024,0.00419996,0.058296,1.294599,0.02579,0,0.05997,0.2684804,0.00760822,0.023791,0.129277,0.065634,0,0.118853,3.511152,0.07587448,0.76012,2.333692,0.223525,0,0.87136
R-026,1.247,0.898,0.0280292,0.0008769,0,0.729582,0.013375,0,0.028379,3.37872,0.09356404,0.728877,0.302297,0.149056,0,0.660155,0.1781908,0.00512352,0.066561,1.369487,0.028132,0,0.060287,0.297688,0.0087566,0.028017,0.14697,0.072678,0,0.142267,3.882628,0.10832106,0.823455,2.548336,0.263241,0,0.891088
R-027,1.303,0.866,0.0312984,0.00098946,0,0.768126,0.016278,0,0.03059,3.4558248,0.12595266,0.848808,0.320256,0.144675,0,0.911875,0.2029064,0.00584106,0.077858,1.650791,0.032195,0,0.077076,0.3163416,0.00911476,0.033222,0.156184,0.089614,0,0.159833,4.0063712,0.14189794,0.959888,2.895357,0.282762,0,1.179374
R-028,1.178,0.951,0.0272016,0.00071702,0,0.63215,0.012573,0,0.027446,3.2679832,0.09071546,0.529227,0.271789,0.12669,0,0.650284,0.1544708,0.00452826,0.065186,1.449171,0.024903,0,0.072339,0.261274,0.00774558,0.027063,0.127807,0.065109,0,0.126508,3.7109296,0.10370632,0.621476,2.480917,0.229275,0,0.876577
R-029,1.217,0.97,0.0285556,0.00076964,0,0.608198,0.012623,0,0.025667,3.2758688,0.08696094,0.564174,0.25663,0.136594,0,0.562019,0.1361228,0.00445062,0.068909,1.186635,0.024684,0,0.062688,0.254644,0.00774672,0.026703,0.126415,0.056748,0,0.130296,3.6951912,0.09992792,0.659786,2.177878,0.230649,0,0.78067
R-030,1.217,0.919,0.0271516,0.00074276,0,0.759256,0.014399,0,0.02732,2.5748588,0.09851396,0.755968,0.251358,0.145331,0,0.728767,0.1518316,0.00505952,0.063137,1.245532,0.026711,0,0.069194,0.2589672,0.00801246,0.027388,0.146859,0.073329,0,0.14964,3.0128092,0.1123287,0.846493,2.403005,0.25977,0,0.974921
R-031,1.266,0.924,0.030798,0.00082958,0,0.699519,0.015128,0,0.029409,3.5107032,0.11580582,0.641853,0.274241,0.130606,0,0.858386,0.1773312,0.00538528,0.068142,1.528138,0.026913,0,0.068182,0.2788124,0.00880432,0.030754,0.132406,0.067683,0,0.141456,3.9976448,0.130825,0.740749,2.634304,0.24033,0,1.097433
R-032,1.061,0.951,0.0221164,0.0006445,0,0.553052,0.011892,0,0.023191,3.0819964,0.08852892,0.648858,0.211302,0.125764,0,0.565955,0.1520196,0.00393914,0.057298,1.157378,0.022579,0,0.062731,0.243812,0.00639742,0.021795,0.121,0.054031,0,0.107161,3.4999444,0.09950998,0.727951,2.042732,0.214266,0,0.759038
R-033,1.335,0.992,0.023744,0.00072364,0,0.702589,0.013642,0,0.027724,3.2209784,0.10837188,0.68562,0.274717,0.157401,0,0.693297,0.1647316,0.0052632,0.0723,1.262899,0.025636,0,0.068099,0.301324,0.00843324,0.027031,0.140532,0.061978,0,0.140196,3.710778,0.12279196,0.784951,2.380737,0.258657,0,0.929316
R-034,1.189,0.906,0.0271084,0.00077344,0,0.68262,0.012516,0,0.028178,3.7727552,0.08391624,0.614583,0.287941,0.163566,0,0.69375,0.1592432,0.00429222,0.064328,1.433156,0.027032,0,0.06774,0.2656412,0.00741478,0.025264,0.134265,0.066771,0,0.141958,4.224748,0.09639668,0.704175,2.537982,0.269885,0,0.931626
R-035,1.379,0.88,0.0345196,0.00104034,0,0.87495,0.016049,0,0.031013,4.8302908,0.1126796,0.730522,0.328107,0.181923,0,0.824905,0.2074604,0.00593938,0.076516,1.562415,0.034305,0,0.079833,0.342108,0.00951176,0.035168,0.157914,0.078411,0,0.150748,5.4143788,0.12917108,0.842206,2.923386,0.310688,0,1.086499
R-036,1.2,0.913,0.0272508,0.00082234,0,0.682178,0.012761,0,0.025724,3.0541844,0.10584792,0.680222,0.275875,0.159365,0,0.604301,0.1568992,0.0049381,0.062168,1.457634,0.026071,0,0.068903,0.3014892,0.00842214,0.029249,0.137934,0.066695,0,0.13925,3.5398236,0.1200305,0.771639,2.553621,0.264892,0,0.838178
R-037,1.098,0.956,0.0226652,0.00074904,0,0.649396,0.013527,0,0.02055,3.1538736,0.07685172,0.622747,0.210914,0.121256,0,0.628548,0.129572,0.00439612,0.060366,1.115683,0.02626,0,0.056703,0.2308044,0.007367,0.021837,0.107753,0.060211,0,0.1366,3.5369152,0.08936388,0.70495,2.083746,0.221254,0,0.842401
R-038,1.084,0.993,0.0230824,0.00069526,0,0.552499,0.010367,0,0.023047,2.4730988,0.06931618,0.59471,0.254146,0.096528,0,0.558765,0.1375472,0.00399514,0.056573,1.11638,0.023488,0,0.053607,0.1924656,0.00672616,0.021212,0.103521,0.052637,0,0.12067,2.826194,0.08073274,0.672495,2.026546,0.18302,0,0.756089
R-039,1.247,0.938,0.0281092,0.00079834,0,0.675504,0.014202,0,0.027491,3.3657568,0.098777,0.561601,0.288844,0.148247,0,0.689655,0.1467164,0.00565104,0.064136,1.333213,0.026805,0,0.068513,0.2724356,0.00808486,0.026967,0.140625,0.069214,0,0.149321,3.813018,0.11331124,0.652704,2.438186,0.258468,0,0.93498
R-040,1.287,0.923,0.0273912,0.0008227,0,0.723199,0.015324,0,0.029034,3.3854376,0.10326046,0.795667,0.288738,0.146586,0,0.734875,0.19844,0.00547084,0.071867,1.53697,0.030741,0,0.07241,0.309226,0.0086379,0.027066,0.144325,0.069947,0,0.152684,3.9204948,0.1181919,0.8946,2.693232,0.262598,0,0.989003
R-041,1.387,0.967,0.029894,0.00079808,0,0.736882,0.014369,0,0.026494,4.3815964,0.1181797,0.71655,0.347901,0.133882,0,0.708707,0.1911944,0.00549382,0.079564,1.483777,0.02556,0,0.074012,0.2835948,0.00829224,0.031502,0.155545,0.068753,0,0.152375,4.8862796,0.13276384,0.827616,2.724105,0.242564,0,0.961588
R-042,1.137,0.918,0.0233964,0.00077298,0,0.583872,0.012985,0,0.02269,2.6932164,0.08494002,0.565417,0.307464,0.125292,0,0.654212,0.1253956,0.0043468,0.070333,1.374588,0.02523,0,0.062383,0.2719048,0.0078103,0.027271,0.121141,0.064056,0,0.121752,3.1139132,0.0978701,0.663021,2.387065,0.227563,0,0.861037
R-043,1.083,0.99,0.0199252,0.00070776,0,0.560352,0.010213,0,0.021745,2.3567932,0.08869544,0.64349,0.236621,0.101871,0,0.470977,0.1375136,0.00404554,0.053933,1.139122,0.021268,0,0.063057,0.2437948,0.00660712,0.021267,0.109521,0.052798,0,0.10248,2.7580268,0.10005586,0.71869,2.045616,0.18615,0,0.658259
R-044,1.368,0.959,0.0268736,0.00088456,0,0.736894,0.014928,0,0.031173,4.0060536,0.11549956,0.722613,0.277953,0.150685,0,0.718364,0.1929276,0.00522564,0.076163,1.484434,0.028857,0,0.070669,0.3142392,0.00787264,0.029551,0.147297,0.064431,0,0.15276,4.540094,0.1294824,0.828327,2.646578,0.258901,0,0.972966
R-045,1.354,0.935,0.0287768,0.00092522,0,0.693337,0.013506,0,0.027595,3.3301404,0.10914056,0.596182,0.253009,0.130641,0,0.851065,0.1836228,0.00547928,0.076855,1.68823,0.027555,0,0.075048,0.3171696,0.00942188,0.031907,0.150835,0.074675,0,0.157421,3.8597096,0.12496694,0.704944,2.785411,0.246377,0,1.111129
R-046,1.264,0.864,0.0301252,0.00092422,0,0.799608,0.015087,0,0.032023,3.1637352,0.11601024,0.800926,0.344692,0.155508,0,0.91639,0.1966164,0.00574924,0.076814,1.633451,0.029022,0,0.07596,0.2988068,0.01016142,0.030155,0.146416,0.083258,0,0.146449,3.6892836,0.13284512,0.907895,2.924167,0.282875,0,1.170822
R-047,1.348,0.905,0.0309744,0.0009167,0,0.87986,0.017263,0,0.030681,3.562888,0.09295904,0.692343,0.293909,0.14945,0,0.663846,0.2094548,0.00614624,0.068796,1.729705,0.029893,0,0.085556,0.3035196,0.009753,0.034818,0.154283,0.078818,0,0.153657,4.1068368,0.10977498,0.795957,3.057757,0.275424,0,0.93374
R-048,1.394,0.909,0.0305248,0.00094638,0,0.809477,0.017517,0,0.029587,3.7132824,0.13742492,0.848125,0.336987,0.140626,0,0.879373,0.194664,0.00571762,0.071913,1.508659,0.036716,0,0.072049,0.3176004,0.00906042,0.031145,0.150624,0.085627,0,0.169176,4.2560716,0.15314934,0.951183,2.805747,0.280486,0,1.150185
R-049,1.078,0.968,0.0221028,0.0006564,0,0.547102,0.012005,0,0.022444,2.9913036,0.0830543,0.450046,0.202018,0.117594,0,0.547318,0.1375384,0.00421808,0.058517,1.045626,0.021135,0,0.058049,0.233076,0.00656882,0.022777,0.118819,0.054716,0,0.118789,3.3840208,0.0944976,0.53134,1.913565,0.20545,0,0.7466
R-050,1.047,0.987,0.0207276,0.00061506,0,0.51659,0.010701,0,0.019969,2.7973064,0.077186,0.517017,0.207268,0.087108,0,0.401736,0.129194,0.00383414,0.055116,1.058128,0.02155,0,0.052257,0.1997168,0.0061243,0.021852,0.101577,0.051077,0,0.100443,3.1469448,0.0877595,0.593985,1.883563,0.170436,0,0.574405
R-051,1.238,0.992,0.0244228,0.00085388,0,0.630878,0.012572,0,0.026282,3.0007844,0.07821874,0.583895,0.257067,0.134148,0,0.567859,0.1551616,0.00416092,0.060041,1.311919,0.023987,0,0.062983,0.2332136,0.00716822,0.024886,0.118189,0.065964,0,0.128168,3.4135824,0.09040176,0.668822,2.318053,0.236671,0,0.785292
R-052,1.393,0.95,0.033038,0.00093304,0,0.726606,0.015446,0,0.030866,3.6418196,0.1091162,0.762168,0.288133,0.136109,0,0.718334,0.1890492,0.00529962,0.073016,1.554812,0.029053,0,0.077994,0.2771316,0.00890452,0.029507,0.138234,0.077585,0,0.144915,4.1410384,0.12425338,0.864691,2.707785,0.258193,0,0.972109
R-053,1.208,0.999,0.0242296,0.0007559,0,0.563378,0.012213,0,0.025907,2.863238,0.08676506,0.581288,0.233869,0.088295,0,0.549938,0.1410424,0.00511012,0.058806,1.288645,0.023481,0,0.058325,0.2549484,0.00711824,0.024461,0.1237,0.061391,0,0.121968,3.2834584,0.09974932,0.664555,2.209592,0.18538,0,0.756138
R-054,1.299,0.949,0.0293516,0.0007621,0,0.704604,0.013136,0,0.025767,3.9408932,0.08382828,0.706879,0.199301,0.150686,0,0.720228,0.150048,0.0048407,0.074255,1.411777,0.026935,0,0.068727,0.3041088,0.00877996,0.030615,0.134896,0.081832,0,0.123945,4.4244016,0.09821104,0.811749,2.450578,0.272589,0,0.938667
R-055,1.221,0.963,0.0243064,0.00088994,0,0.645963,0.013366,0,0.026842,2.8378908,0.0844369,0.742893,0.296525,0.129569,0,0.518804,0.152648,0.0047813,0.064933,1.236504,0.027968,0,0.065141,0.2499552,0.00730198,0.025448,0.116596,0.070554,0,0.129985,3.2648004,0.09741012,0.833274,2.295588,0.241457,0,0.740772
R-056,1.225,0.897,0.02998,0.00095804,0,0.722454,0.013883,0,0.029058,3.1504108,0.09246274,0.71009,0.273311,0.152553,0,0.648047,0.171496,0.0048479,0.069645,1.317316,0.027126,0,0.076653,0.2815096,0.00920594,0.028193,0.135822,0.076959,0,0.168401,3.6333964,0.10747462,0.807928,2.448903,0.270521,0,0.922159
R-057,1.188,0.935,0.0281432,0.00083362,0,0.689761,0.0136,0,0.025082,2.8075824,0.11282608,0.80959,0.297325,0.161423,0,0.681025,0.1573204,0.00467174,0.069147,1.166019,0.023467,0,0.062418,0.2300892,0.00860952,0.03022,0.140881,0.064953,0,0.13246,3.2231352,0.12694096,0.908957,2.293986,0.263443,0,0.900985
R-058,1.107,0.918,0.0244516,0.00076628,0,0.644561,0.013011,0,0.024575,2.5105684,0.0938539,0.591117,0.237354,0.145942,0,0.723224,0.1610192,0.00458338,0.065193,1.253645,0.025001,0,0.063559,0.254644,0.00729686,0.025266,0.119591,0.060718,0,0.124455,2.9506832,0.10650042,0.681576,2.255151,0.244672,0,0.935813
R-059,1.064,0.876,0.0250644,0.00072408,0,0.638599,0.012511,0,0.025576,3.0283276,0.1023277,0.708513,0.273517,0.124588,0,0.729782,0.1677328,0.0050639,0.056954,1.328853,0.024054,0,0.067902,0.2424888,0.00792284,0.025614,0.128606,0.061696,0,0.124633,3.4636136,0.11603852,0.791081,2.369575,0.222849,0,0.947893
R-060,1.05,0.913,0.0232836,0.00068716,0,0.540171,0.012512,0,0.023838,2.8061288,0.09473776,0.69384,0.229783,0.105599,0,0.636714,0.1498128,0.00401488,0.060483,1.124372,0.024482,0,0.06348,0.2485684,0.00727948,0.02509,0.123728,0.060651,0,0.123126,3.2277936,0.10671928,0.779413,2.018054,0.203244,0,0.847158
R-061,1.255,0.972,0.0270804,0.00075934,0,0.628896,0.011783,0,0.028862,2.6130628,0.10976682,0.673074,0.209124,0.121397,0,0.72408,0.1562352,0.004554,0.070822,1.40217,0.025501,0,0.065587,0.2623568,0.00768618,0.028668,0.138104,0.062411,0,0.125076,3.0587352,0.12276634,0.772564,2.378294,0.221092,0,0.943605
R-062,1.293,0.957,0.0249596,0.0009252,0,0.718351,0.014837,0,0.027697,3.5231796,0.08392904,0.659081,0.276155,0.150914,0,0.693939,0.1708036,0.00516884,0.06876,1.302843,0.024548,0,0.071074,0.2567876,0.0077373,0.028792,0.146385,0.073927,0,0.136732,3.9757304,0.09776038,0.756633,2.443734,0.264226,0,0.929442
R-063,1.112,0.951,0.0224836,0.00070998,0,0.641175,0.012074,0,0.022703,2.9421428,0.08844108,0.560549,0.235573,0.116045,0,0.613622,0.1452408,0.00439904,0.062802,1.207812,0.024521,0,0.054152,0.2344852,0.00750596,0.023348,0.117705,0.058857,0,0.115285,3.3443524,0.10105606,0.646699,2.202265,0.211497,0,0.805762
R-064,1.171,0.91,0.0271528,0.0007692,0,0.691846,0.013955,0,0.030006,3.7207372,0.11230432,0.70115,0.273582,0.136803,0,0.550813,0.1728624,0.00507504,0.068516,1.41586,0.027433,0,0.068681,0.2785848,0.00766078,0.026408,0.133039,0.064342,0,0.137056,4.1993372,0.12580934,0.796074,2.514327,0.242533,0,0.786556
R-065,1.325,0.917,0.029432,0.00072134,0,0.745119,0.015927,0,0.028935,3.659862,0.10293396,0.677719,0.334729,0.169257,0,0.767238,0.1671324,0.00551052,0.077996,1.549961,0.032589,0,0.076139,0.315168,0.0088957,0.028502,0.136451,0.076538,0,0.153962,4.1715944,0.11806152,0.784217,2.76626,0.294311,0,1.026274
R-066,1.076,0.868,0.0258704,0.00077472,0,0.579289,0.011766,0,0.025178,3.0793916,0.10860182,0.537765,0.207213,0.135227,0,0.646339,0.1622768,0.00438906,0.064047,1.272609,0.029901,0,0.060024,0.2570872,0.007483,0.025171,0.118667,0.064963,0,0.150198,3.524626,0.1212486,0.626983,2.177778,0.241857,0,0.881739
R-067,1.337,0.926,0.027298,0.0008494,0,0.69441,0.015156,0,0.033463,3.5353308,0.09074302,0.861706,0.256439,0.140128,0,0.703769,0.1729124,0.00485248,0.077324,1.724303,0.031322,0,0.068796,0.2794608,0.00907976,0.028235,0.150019,0.069102,0,0.153712,4.015002,0.10552466,0.967265,2.825171,0.255708,0,0.95974
R-068,1.382,0.967,0.0265436,0.00087596,0,0.752439,0.014336,0,0.026841,3.8631132,0.11318106,0.900562,0.304143,0.159088,0,0.620311,0.1845716,0.00530942,0.07341,1.292398,0.030062,0,0.079438,0.2834676,0.00829736,0.027671,0.142336,0.07903,0,0.12232,4.357696,0.1276638,1.001643,2.491316,0.282516,0,0.84891
R-069,1.335,0.929,0.029478,0.00084662,0,0.823164,0.013961,0,0.031878,3.2156584,0.09959942,0.669115,0.336709,0.149744,0,0.679216,0.1895832,0.00563772,0.078752,1.38176,0.027028,0,0.077112,0.3083432,0.00983412,0.029315,0.161032,0.066152,0,0.152058,3.7430628,0.11591788,0.777182,2.702665,0.256885,0,0.940264
R-070,1.358,0.948,0.0327956,0.00088514,0,0.72168,0.014529,0,0.029116,3.683594,0.10424056,0.749056,0.32222,0.154024,0,0.743762,0.1866184,0.00480268,0.075113,1.512129,0.0282,0,0.075263,0.28358,0.00933072,0.03272,0.137827,0.077224,0,0.136446,4.186588,0.1192591,0.856889,2.693856,0.273977,0,0.984587
R-071,1.385,0.869,0.0335444,0.00094794,0,0.91365,0.017216,0,0.031839,4.5313824,0.0970761,0.841923,0.349328,0.18524,0,0.838505,0.2098692,0.00554374,0.089321,1.728666,0.036662,0,0.088127,0.3565208,0.01025294,0.03219,0.164526,0.100794,0,0.17542,5.1313168,0.11382072,0.963434,3.15617,0.339912,0,1.133891
R-072,1.136,0.852,0.0303624,0.00089758,0,0.69443,0.014584,0,0.029084,2.9220032,0.11201624,0.698967,0.264635,0.116204,0,0.726944,0.1479548,0.00504776,0.072393,1.351416,0.028813,0,0.071086,0.2734468,0.00810804,0.027054,0.139928,0.070601,0,0.144805,3.3737672,0.12606962,0.798414,2.450409,0.230202,0,0.971919
